İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat,Ağır Hasarlı,Motor Gücü (kW),Batarya Voltajı (V),Menzil,Şarj Süresi,Pil Kapasitesi (kWh),Plaka Uyruğu
Kopyalandı30608947,30 Haziran 2025,Renault,Megane,1.5 dCi Touch,2019,164.950 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun Değil,Galeriden,1.099.000 TL,,,,,,,
Kopyalandı29234891,30 Haziran 2025,Toyota,Corolla,1.5 Flame X-Pack,2021,84.300 km,Otomatik,Benzin,Sedan,Beyaz,1490 cc,125 hp,Önden Çekiş,İkinci El,"5,8 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,1.415.000 TL,,,,,,,
Kopyalandı30608799,30 Haziran 2025,Hyundai,Accent,1.5 CRDi Admire,2003,263.000 km,Düz,Dizel,Sedan,Gri,1493 cc,82 hp,Önden Çekiş,İkinci El,"5,5 lt",45 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,290.000 TL,,,,,,,
Kopyalandı30608629,30 Haziran 2025,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013,270.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,"1 değişen, 12 boyalı",Takasa Uygun Değil,Sahibinden,530.000 TL,,,,,,,
Kopyalandı30614376,30 Haziran 2025,Opel,Corsa,1.3 CDTI Enjoy,2012,120.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1248 cc,95 hp,Önden Çekiş,İkinci El,"4,4 lt",45 lt,3 boyalı,,Sahibinden,589.000 TL,,,,,,,
Kopyalandı30614428,30 Haziran 2025,Fiat,Linea,1.3 Multijet Emotion Plus,2011,270.000 km,Düz,Dizel,Sedan,Siyah,1248 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,4 değişen,,Sahibinden,360.000 TL,,,,,,,
Kopyalandı30614330,30 Haziran 2025,Tofaş,Şahin,1.6,1993,230.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,,Arkadan İtiş,İkinci El,,52 lt,Tamamı orjinal,,Sahibinden,235.000 TL,,,,,,,
Kopyalandı30614248,30 Haziran 2025,BMW,3 Serisi,318is,1994,350.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1796 cc,140 hp,Arkadan İtiş,İkinci El,,63 lt,2 boyalı,,Sahibinden,342.000 TL,,,,,,,
Kopyalandı30595461,30 Haziran 2025,Fiat,Palio,1.2 EL,2003,167.500 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1242 cc,81 hp,Önden Çekiş,İkinci El,"7,2 lt",51 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,330.000 TL,,,,,,,
Kopyalandı30613605,30 Haziran 2025,Peugeot,207,1.6 VTi Dynamic CC,2008,232.000 km,Yarı Otomatik,LPG & Benzin,-,Turkuaz,1598 cc,122 hp,Önden Çekiş,İkinci El,"6,5 lt",50 lt,"1 değişen, 5 boyalı",,Sahibinden,390.000 TL,,,,,,,
Kopyalandı30608676,30 Haziran 2025,Renault,Safrane,2.5 RXT,1998,243.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,2435 cc,163 hp,Önden Çekiş,İkinci El,"10,3 lt",80 lt,Belirtilmemiş,Takasa Uygun,Galeriden,320.000 TL,,,,,,,
Kopyalandı30575065,30 Haziran 2025,Fiat,Linea,1.3 Multijet Active Plus,2012,340.000 km,Düz,Dizel,Sedan,Gri,1248 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,299.000 TL,,,,,,,
Kopyalandı30575043,30 Haziran 2025,Renault,R 9,1.4 Broadway,1989,360.000 km,Düz,LPG & Benzin,Sedan,Mavi,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,,Sahibinden,165.000 TL,,,,,,,
Kopyalandı30614245,30 Haziran 2025,Mini,Cooper,1.6 Türkiye Paketi,2007,224.000 km,Otomatik,Benzin,Hatchback/3,Mavi,1598 cc,120 hp,Önden Çekiş,İkinci El,"5,8 lt",40 lt,10 boyalı,,Sahibinden,615.000 TL,,,,,,,
Kopyalandı30608923,30 Haziran 2025,Renault,Clio,1.5 dCi Joy,2019,197.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,75 hp,Önden Çekiş,İkinci El,"3,6 lt",45 lt,1 değişen,Takasa Uygun,Galeriden,675.000 TL,,,,,,,
Kopyalandı30608813,30 Haziran 2025,Renault,Clio,1.5 dCi Alize,2006,288.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,65 hp,Önden Çekiş,İkinci El,"4,7 lt",50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,390.000 TL,,,,,,,
Kopyalandı30608489,30 Haziran 2025,Fiat,Egea,1.3 Multijet Easy,2019,110.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",45 lt,"2 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,725.000 TL,,,,,,,
Kopyalandı30598927,30 Haziran 2025,Mazda,626,2.0,1996,417.000 km,Düz,LPG & Benzin,Station wagon,Mavi,1998 cc,90 hp,Önden Çekiş,İkinci El,,60 lt,Belirtilmemiş,,Sahibinden,280.000 TL,,,,,,,
Kopyalandı30602365,30 Haziran 2025,Honda,Jazz,1.4 LS,2005,296.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1339 cc,83 hp,Önden Çekiş,İkinci El,"5,8 lt",42 lt,6 boyalı,,Sahibinden,330.000 TL,,,,,,,
Kopyalandı30611918,30 Haziran 2025,Toyota,Verso,1.6 Elegant,2012,181.000 km,Düz,LPG & Benzin,MPV,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"6,7 lt",60 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,680.000 TL,,,,,,,
Kopyalandı30613941,30 Haziran 2025,Ford,Taunus,1.6,1977,400.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1593 cc,73 hp,Arkadan İtiş,İkinci El,,,3 değişen,,Sahibinden,65.000 TL,,,,,,,
Kopyalandı30614389,30 Haziran 2025,Honda,Civic,1.6 i-VTEC LS Elegance,2004,360.000 km,Düz,Benzin,Sedan,Lacivert,1590 cc,110 hp,Önden Çekiş,İkinci El,"6,5 lt",50 lt,"1 değişen, 8 boyalı",,Sahibinden,460.000 TL,,,,,,,
Kopyalandı30497828,30 Haziran 2025,Hyundai,i20,1.4 CVVT Sense,2014,97.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1396 cc,100 hp,Önden Çekiş,İkinci El,6 lt,45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,765.000 TL,,,,,,,
Kopyalandı29108771,30 Haziran 2025,Citroen,C-Elysee,1.5 BlueHDi Feel,2019,163.700 km,Düz,Dizel,Sedan,Gri (metalik),1499 cc,100 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,690.000 TL,,,,,,,
Kopyalandı30614326,30 Haziran 2025,Opel,Corsa,1.3 CDTI Essentia,2004,198.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,,,,İkinci El,,,Belirtilmemiş,,Sahibinden,345.000 TL,,,,,,,
Kopyalandı30614212,30 Haziran 2025,Peugeot,206,1.4 X-Line,2005,199.999 km,Düz,LPG & Benzin,Hatchback/5,Mavi,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,3 değişen,,Sahibinden,310.000 TL,,,,,,,
Kopyalandı30614268,30 Haziran 2025,Honda,Civic,1.6 i-VTEC Eco Executive,2021,103.400 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,125 hp,Önden Çekiş,İkinci El,"6,3 lt",46 lt,Tamamı orjinal,,Sahibinden,1.539.750 TL,,,,,,,
Kopyalandı30608859,30 Haziran 2025,Peugeot,208,1.2 PureTech Allure,2024,6.001 km,Otomatik,Benzin,Hatchback/5,Mavi,1200 cm3' e kadar,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1.335.000 TL,,,,,,,
Kopyalandı29336137,30 Haziran 2025,Chevrolet,Kalos,1.4 SE,2005,213.200 km,Düz,LPG & Benzin,Hatchback/5,Gri,1399 cc,83 hp,Önden Çekiş,İkinci El,"7,5 lt",45 lt,"4 değişen, 5 boyalı",,Sahibinden,250.000 TL,,,,,,,
Kopyalandı26774988,30 Haziran 2025,Fiat,Albea,Sole 1.3 Multijet Premio,2009,185.000 km,Düz,Dizel,Sedan,Füme,1248 cc,70 hp,Önden Çekiş,İkinci El,"4,7 lt",48 lt,Tamamı orjinal,Takasa Uygun,Galeriden,455.000 TL,,,,,,,
Kopyalandı30608619,30 Haziran 2025,Opel,Astra,1.2 T Edition,2024,6.001 km,Otomatik,Benzin,Hatchback/5,Beyaz,1199 cc,132 hp,Önden Çekiş,İkinci El,"5,4 lt",52 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1.435.000 TL,,,,,,,
Kopyalandı30614359,30 Haziran 2025,Renault,Megane,1.6 Dynamique,2005,222.000 km,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,115 hp,Önden Çekiş,İkinci El,"7,7 lt",60 lt,Belirtilmemiş,,Sahibinden,455.000 TL,,,,,,,
Kopyalandı30614322,30 Haziran 2025,Mercedes - Benz,200,E,1990,375.000 km,Düz,LPG & Benzin,Sedan,Siyah,1997 cc,118 hp,Arkadan İtiş,İkinci El,,70 lt,Belirtilmemiş,,Sahibinden,350.000 TL,,,,,,,
Kopyalandı30614295,30 Haziran 2025,Fiat,Uno,1.4 ie,1997,238.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1372 cc,71 hp,Önden Çekiş,İkinci El,,42 lt,4 boyalı,,Sahibinden,165.000 TL,Evet,,,,,,
Kopyalandı30613659,30 Haziran 2025,Volkswagen,New Beetle,1.6 Smile,2006,123.000 km,Otomatik,Benzin,Hatchback/3,Sarı,1596 cc,102 hp,Önden Çekiş,İkinci El,"8,3 lt",55 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,600.000 TL,,,,,,,
Kopyalandı30608830,30 Haziran 2025,Fiat,Albea,1.4 Fire Dynamic,2007,680.000 km,Düz,Benzin,Sedan,Füme,1368 cc,77 hp,Önden Çekiş,İkinci El,"6,1 lt",45 lt,Tamamı boyalı,Takasa Uygun,Galeriden,223.000 TL,,,,,,,
Kopyalandı30608823,30 Haziran 2025,BMW,5 Serisi,525d xDrive Premium,2013,324.000 km,Otomatik,Dizel,Sedan,Füme,1995 cc,218 hp,4WD (Sürekli),İkinci El,"5,1 lt",70 lt,11 boyalı,Takasa Uygun,Galeriden,1.449.000 TL,,,,,,,
Kopyalandı30608822,30 Haziran 2025,Volkswagen,VW CC,2.0 TDi Exclusive,2015,290.000 km,Otomatik,Dizel,Coupe,Beyaz,1801 - 2000 cm3,176 - 200 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,959.000 TL,,,,,,,
Kopyalandı30600783,30 Haziran 2025,Opel,Astra,1.6 CDTI Sport,2017,91.000 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"5,1 lt",56 lt,Belirtilmemiş,,Sahibinden,1.040.000 TL,,,,,,,
Kopyalandı30613872,30 Haziran 2025,Ford,Focus,1.6 TDCi Style,2017,70.000 km,Düz,Dizel,Sedan,Gri,1560 cc,115 hp,Önden Çekiş,İkinci El,"4,5 lt",55 lt,"1 değişen, 4 boyalı",,Sahibinden,999.000 TL,,,,,,,
Kopyalandı30608804,30 Haziran 2025,Skoda,Fabia,1.2 TSI Style,2016,105.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,925.000 TL,,,,,,,
Kopyalandı30573919,30 Haziran 2025,Renault,Megane,1.6 Dynamique,2004,217.460 km,Düz,LPG & Benzin,Hatchback/5,Yeşil,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,8 lt",60 lt,"1 değişen, 1 boyalı",Takasa Uygun,Sahibinden,410.000 TL,,,,,,,
Kopyalandı30570039,30 Haziran 2025,Opel,Insignia,1.6 CDTI Business,2015,295.000 km,Otomatik,Dizel,Sedan,Gri,1598 cc,136 hp,Önden Çekiş,İkinci El,5 lt,70 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,785.000 TL,,,,,,,
Kopyalandı30613404,30 Haziran 2025,Nissan,Primera,1.6 Comfort,2001,210.000 km,Düz,Benzin,Hatchback/5,Gri,1597 cc,106 hp,Önden Çekiş,İkinci El,"7,3 lt",60 lt,"2 değişen, 4 boyalı",,Sahibinden,400.000 TL,,,,,,,
Kopyalandı30548380,30 Haziran 2025,Opel,Corsa,1.2 Swing,2000,238.032 km,Düz,Benzin,Hatchback/5,Beyaz,1199 cc,65 hp,Önden Çekiş,İkinci El,"6,5 lt",42 lt,Belirtilmemiş,,Sahibinden,226.000 TL,,,,,,,
Kopyalandı30608771,30 Haziran 2025,Audi,A5,A5 Sportback 40 TDI Quattro Design,2019,158.000 km,Otomatik,Dizel,Hatchback/5,Gri,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,2.490.000 TL,,,,,,,
Kopyalandı30574906,30 Haziran 2025,Hyundai,Accent,1.3 LS,1998,291.000 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1341 cc,75 hp,Önden Çekiş,İkinci El,"7,4 lt",45 lt,Belirtilmemiş,,Sahibinden,200.000 TL,,,,,,,
Kopyalandı30608617,30 Haziran 2025,Renault,Fluence,1.5 dCi Extreme Edition,2012,300.000 km,Yarı Otomatik,Dizel,Sedan,Gri (metalik),1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Tamamı boyalı,Takasa Uygun Değil,Sahibinden,500.000 TL,,,,,,,
Kopyalandı30608516,30 Haziran 2025,Fiat,Uno,70 S,1996,260.000 km,Düz,Benzin,Hatchback/5,Beyaz,1372 cc,72 hp,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,170.000 TL,,,,,,,
Kopyalandı30613653,30 Haziran 2025,Skoda,SuperB,1.6 TDI Comfort,2011,228.000 km,Düz,Dizel,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,İkinci El,5 lt,60 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,760.000 TL,,,,,,,
Kopyalandı30614203,30 Haziran 2025,Skoda,Rapid,1.4 TDI GreenTec Style,2016,133.750 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1422 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",55 lt,5 boyalı,Takasa Uygun,Sahibinden,930.000 TL,,,,,,,
Kopyalandı30614175,30 Haziran 2025,Hyundai,Accent,1.3 LX,2000,314.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1341 cc,86 hp,Önden Çekiş,İkinci El,"6,1 lt",45 lt,Belirtilmemiş,,Sahibinden,230.000 TL,,,,,,,
Kopyalandı30614119,30 Haziran 2025,Mercedes - Benz,200,E,1990,420.000 km,Otomatik,LPG & Benzin,Sedan,Füme,,,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Sahibinden,375.000 TL,,,,,,,
Kopyalandı30614109,30 Haziran 2025,Renault,Clio,1.5 dCi GT Line,2017,146.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,7 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,910.000 TL,,,,,,,
Kopyalandı30570845,30 Haziran 2025,Volkswagen,Bora,1.6 Basic,1999,251.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1595 cc,101 hp,Önden Çekiş,İkinci El,"7,7 lt",55 lt,Belirtilmemiş,,Sahibinden,410.000 TL,,,,,,,
Kopyalandı30613802,30 Haziran 2025,Renault,Twingo,1.2 Pack,1997,200.000 km,Düz,LPG & Benzin,Hatchback/3,Mavi (metalik),1149 cc,58 hp,Önden Çekiş,İkinci El,,40 lt,Tamamı orjinal,,Sahibinden,250.000 TL,,,,,,,
Kopyalandı28148953,30 Haziran 2025,Opel,Insignia,1.6 CDTI Exclusive Grand Sport,2020,123.000 km,Otomatik,Dizel,Hatchback/5,Mavi,1598 cc,136 hp,Önden Çekiş,İkinci El,"5,1 lt",62 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,1.400.000 TL,,,,,,,
Kopyalandı30608609,30 Haziran 2025,Volkswagen,Golf,1.4 TSi Comfortline,2008,228.000 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1390 cc,140 hp,Önden Çekiş,İkinci El,"7,1 lt",55 lt,11 boyalı,Takasa Uygun,Sahibinden,599.999 TL,,,,,,,
Kopyalandı30607282,30 Haziran 2025,Renault,R 9,1.4 Broadway GTE,1992,428.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,,Sahibinden,190.000 TL,,,,,,,
Kopyalandı30614163,30 Haziran 2025,Hyundai,i30,1.6 CRDi Elite,2013,205.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1582 cc,128 hp,Önden Çekiş,İkinci El,"5,5 lt",53 lt,Tamamı orjinal,,Sahibinden,899.000 TL,,,,,,,
Kopyalandı30614188,30 Haziran 2025,Volkswagen,Polo,1.6 TDi Comfortline,2013,153.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,90 hp,Önden Çekiş,İkinci El,"4,3 lt",45 lt,"3 değişen, 5 boyalı",,Sahibinden,725.000 TL,,,,,,,
Kopyalandı30608721,30 Haziran 2025,Fiat,Linea,1.4 Fire Pop,2015,150.000 km,Düz,Benzin,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,579.000 TL,,,,,,,
Kopyalandı30614241,30 Haziran 2025,Skoda,Octavia,1.6 TDI Style,2017,129.000 km,Yarı Otomatik,Dizel,Station wagon,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,"1 değişen, 1 boyalı",,Sahibinden,1.265.000 TL,,,,,,,
Kopyalandı30606206,30 Haziran 2025,Renault,Clio,1.5 dCi Joy,2016,108.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,75 hp,Önden Çekiş,İkinci El,"3,6 lt",45 lt,6 boyalı,,Sahibinden,680.000 TL,,,,,,,
Kopyalandı30608691,30 Haziran 2025,Opel,Corsa,1.3 CDTI Enjoy,2007,362.000 km,Düz,Dizel,Hatchback/5,Mavi,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden,315.000 TL,,,,,,,
Kopyalandı30608688,30 Haziran 2025,Hyundai,i20,1.0 T-GDI Style Plus,2020,52.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,995.000 TL,,,,,,,
Kopyalandı30608668,30 Haziran 2025,Skoda,Scala,1.0 TSI Premium,2023,47.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,1.300.000 TL,,,,,,,
Kopyalandı30608666,30 Haziran 2025,Volkswagen,Golf,1.6 Comfortline,1999,400.000 km,Otomatik,Benzin,Hatchback/5,Siyah,1595 cc,101 hp,Önden Çekiş,İkinci El,"8,6 lt",55 lt,10 boyalı,Takasa Uygun,Galeriden,369.900 TL,,,,,,,
Kopyalandı30608664,30 Haziran 2025,BMW,5 Serisi,520i Special Edition Luxury Line,2020,112.500 km,Otomatik,Benzin,Sedan,Lacivert,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,2.975.000 TL,,,,,,,
Kopyalandı28508403,30 Haziran 2025,Renault,Megane,1.5 dCi Privilege,2008,233.000 km,Otomatik,Dizel,Sedan,Bej,1461 cc,100 hp,Önden Çekiş,İkinci El,"4,9 lt",60 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,455.000 TL,,,,,,,
Kopyalandı30614085,30 Haziran 2025,Renault,Clio,1.6 RTE,2000,278.500 km,Düz,LPG & Benzin,Hatchback/3,Gri,1598 cc,90 hp,Önden Çekiş,İkinci El,"7,2 lt",50 lt,Belirtilmemiş,,Sahibinden,230.000 TL,,,,,,,
Kopyalandı30613631,30 Haziran 2025,Opel,Astra,1.6 CDTI Dynamic,2016,117.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"4,6 lt",52 lt,Belirtilmemiş,,Sahibinden,1.160.000 TL,,,,,,,
Kopyalandı30608644,30 Haziran 2025,Renault,Megane,1.5 dCi Touch,2019,200.000 km,Otomatik,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,1.045.000 TL,,,,,,,
Kopyalandı30611992,30 Haziran 2025,Opel,Astra,1.6 Essentia,2012,252.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,5 lt",52 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,550.000 TL,,,,,,,
Kopyalandı30608126,30 Haziran 2025,Volkswagen,Golf,2.0 TSi R,2016,149.000 km,Yarı Otomatik,Benzin,Hatchback/5,Mavi,1984 cc,280 hp,4WD (Sürekli),İkinci El,"6,9 lt",55 lt,Belirtilmemiş,,Sahibinden,1.975.000 TL,,,,,,,
Kopyalandı30601336,30 Haziran 2025,Renault,Megane,1.3 TCe Joy Comfort,2022,100.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,Önden Çekiş,İkinci El,"5,3 lt",50 lt,Tamamı orjinal,,Sahibinden,1.200.000 TL,,,,,,,
Kopyalandı30587963,30 Haziran 2025,BMW,1 Serisi,118i Joy Plus,2017,100.081 km,Otomatik,Benzin,Hatchback/5,Turuncu,1499 cc,136 hp,Arkadan İtiş,İkinci El,"5,2 lt",52 lt,Tamamı orjinal,,Sahibinden,1.195.000 TL,,,,,,,
Kopyalandı30587833,30 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2014,270.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,66 lt,Tamamı orjinal,,Sahibinden,1.195.000 TL,,,,,,,
Kopyalandı30575014,30 Haziran 2025,Mercedes - Benz,E,200 Kompressor Avantgarde,2003,294.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1796 cc,163 hp,Arkadan İtiş,İkinci El,"8,7 lt",65 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,1.090.000 TL,,,,,,,
Kopyalandı30613999,30 Haziran 2025,Citroen,C3,1.2 PureTech Shine,2024,6.001 km,Otomatik,Benzin,Hatchback/5,Gri,1199 cc,112 hp,Önden Çekiş,İkinci El,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,1.280.000 TL,,,,,,,
Kopyalandı30583535,30 Haziran 2025,Chevrolet,Aveo,1.4 LT,2012,195.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1398 cc,100 hp,Önden Çekiş,İkinci El,"5,9 lt",46 lt,Belirtilmemiş,,Sahibinden,545.000 TL,,,,,,,
Kopyalandı30613803,30 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2018,217.000 km,Yarı Otomatik,Dizel,Sedan,Mavi,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,59 lt,2 boyalı,,Sahibinden,1.360.000 TL,,,,,,,
Kopyalandı30608600,30 Haziran 2025,Renault,Clio,1.0 TCe Touch,2023,30.000 km,Otomatik,Benzin,Hatchback/5,Lacivert,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1.095.000 TL,,,,,,,
Kopyalandı30608576,30 Haziran 2025,Renault,Laguna,1.5 dCi Dynamique,2008,300.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,9 lt",66 lt,4 boyalı,Takasa Uygun Değil,Galeriden,450.000 TL,,,,,,,
Kopyalandı30613623,30 Haziran 2025,Renault,Clio,1.5 dCi Touch,2017,140.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,7 lt",45 lt,2 boyalı,,Sahibinden,850.000 TL,,,,,,,
Kopyalandı30614014,30 Haziran 2025,Ford,Focus,1.6 TDCi Trend,2013,162.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1560 cc,95 hp,Önden Çekiş,İkinci El,"4,2 lt",53 lt,Tamamı orjinal,,Sahibinden,760.000 TL,,,,,,,
Kopyalandı30608464,30 Haziran 2025,Audi,A3,A3 Sedan 35 TFSI Dynamic,2020,95.000 km,Otomatik,Benzin,Sedan,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1.675.000 TL,,,,,,,
Kopyalandı30593983,30 Haziran 2025,BMW,1 Serisi,118i Joy,2017,82.500 km,Otomatik,Benzin,Hatchback/5,Siyah,1499 cc,136 hp,Arkadan İtiş,İkinci El,"5,4 lt",52 lt,Belirtilmemiş,,Sahibinden,1.200.000 TL,,,,,,,
Kopyalandı30574687,30 Haziran 2025,Mazda,626,2.0 GLX,1994,250.000 km,Düz,LPG & Benzin,Sedan,Gri,1991 cc,115 hp,Önden Çekiş,İkinci El,,60 lt,Belirtilmemiş,,Sahibinden,192.000 TL,,,,,,,
Kopyalandı30613921,30 Haziran 2025,Fiat,Egea,1.3 Multijet Easy,2018,350.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",45 lt,Belirtilmemiş,,Sahibinden,585.000 TL,,,,,,,
Kopyalandı30613982,30 Haziran 2025,Tofaş,Şahin,1.6,1994,300.000 km,Düz,Benzin,Sedan,Kırmızı,1581 cc,,Arkadan İtiş,İkinci El,,52 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,130.000 TL,,,,,,,
Kopyalandı30603367,30 Haziran 2025,Seat,Leon,1.6 TDI CR Style,2011,288.000 km,Düz,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,İkinci El,"4,3 lt",55 lt,"2 değişen, 10 boyalı",Takasa Uygun,Sahibinden,465.000 TL,,,,,,,
